symbol,sector,active
LPB,NGAN HANG,true
BID,NGAN HANG,true
VCB,NGAN HANG,true
CTG,NGAN HANG,true
TCB,NGAN HANG,true
STB,NGAN HANG,true
VPB,NGAN HANG,true
MBB,NGAN HANG,true
ACB,NGAN HANG,true
TPB,NGAN HANG,true
MSB,NGAN HANG,true
HDB,NGAN HANG,true
BVB,NGAN HANG,true
SHB,NGAN HANG,true
EIB,NGAN HANG,true
VAB,NGAN HANG,true
NAB,NGAN HANG,true
VIB,NGAN HANG,true
OCB,NGAN HANG,true
CTS,CHUNG KHOAN,true
VND,CHUNG KHOAN,true
SSI,CHUNG KHOAN,true
AAS,CHUNG KHOAN,true
FTS,CHUNG KHOAN,true
MBS,CHUNG KHOAN,true
SHS,CHUNG KHOAN,true
VIX,CHUNG KHOAN,true
VCI,CHUNG KHOAN,true
HCM,CHUNG KHOAN,true
ORS,CHUNG KHOAN,true
VDS,CHUNG KHOAN,true
BSI,CHUNG KHOAN,true
HPG,THEP,true
NKG,THEP,true
HSG,THEP,true
TVN,THEP,true
TLH,THEP,true
SMC,THEP,true
NSH,THEP,true
VGS,THEP,true
NLG,BDS,true
D2D,BDS,true
IDJ,BDS,true
KDH,BDS,true
NDN,BDS,true
IJC,BDS,true
HDG,BDS,true
CRE,BDS,true
NVL,BDS,true
PDR,BDS,true
VHM,BDS,true
TCH,BDS,true
HDC,BDS,true
AGG,BDS,true
CII,BDS,true
CEO,BDS,true
DXG,BDS,true
DIG,BDS,true
DPG,BDS,true
ITC,BDS,true
SZC,BDS_KCN,true
IDC,BDS_KCN,true
KBC,BDS_KCN,true
TIP,BDS_KCN,true
LHG,BDS_KCN,true
TDC,BDS_KCN,true
GVR,BDS_KCN,true
PHR,BDS_KCN,true
BCM,BDS_KCN,true
GMD,CANG BIEN,true
HAH,CANG BIEN,true
PVP,CANG BIEN,true
PVT,CANG BIEN,true
VOS,CANG BIEN,true
SGP,CANG BIEN,true
PHP,CANG BIEN,true
VSC,CANG BIEN,true
HBC,DAU TU CONG,true
HT1,DAU TU CONG,true
C4G,DAU TU CONG,true
LCG,DAU TU CONG,true
FCN,DAU TU CONG,true
BCC,DAU TU CONG,true
G36,DAU TU CONG,true
VCG,DAU TU CONG,true
HHV,DAU TU CONG,true
KSB,DAU TU CONG,true
BWE,DIEN_NUOC,true
PPC,DIEN_NUOC,true
POW,DIEN_NUOC,true
QTP,DIEN_NUOC,true
PC1,DIEN_NUOC,true
REE,DIEN_NUOC,true
SP2,DIEN_NUOC,true
GEG,DIEN_NUOC,true
TV2,DIEN_NUOC,true
NT2,DIEN_NUOC,true
GEE,DIEN_NUOC,true
GEX,DIEN_NUOC,true
LTG,GAO,true
TAR,GAO,true
PAN,GAO,true
CMX,THUY SAN,true
IDI,THUY SAN,true
ANV,THUY SAN,true
VHC,THUY SAN,true
LSS,DUONG,true
PVB,DAU KHI,true
PVS,DAU KHI,true
PXS,DAU KHI,true
BSR,DAU KHI,true
PVD,DAU KHI,true
PVC,DAU KHI,true
GAS,DAU KHI,true
OIL,DAU KHI,true
PSI,DAU KHI,true
LAS,HOA CHAT_PHAN BON,true
DPM,HOA CHAT_PHAN BON,true
DCM,HOA CHAT_PHAN BON,true
DDV,HOA CHAT_PHAN BON,true
DGC,HOA CHAT_PHAN BON,true
BFC,HOA CHAT_PHAN BON,true
CSV,HOA CHAT_PHAN BON,true
TSC,HOA CHAT_PHAN BON,true
VGI,VIETTEL,true
CTR,VIETTEL,true
VTP,VIETTEL,true
PNJ,BAN LE,true
FRT,BAN LE,true
PET,BAN LE,true
DGW,BAN LE,true
MWG,BAN LE,true
VNM,BAN LE,true
FPT,BAN LE,true
MML,BAN LE,true
MCH,BAN LE,true
KDC,THUC PHAM,true
BAF,THUC PHAM,true
SLS,THUC PHAM,true
DBC,THUC PHAM,true
SBT,THUC PHAM,true
QNS,THUC PHAM,true
MSN,THUC PHAM,true
HAG,THUC PHAM,true
HNG,THUC PHAM,true
FMC,XUAT KHAU,true
MPC,XUAT KHAU,true
ASM,XUAT KHAU,true
TCM,XUAT KHAU,true
TNG,XUAT KHAU,true
VGT,XUAT KHAU,true
STK,XUAT KHAU,true
GIL,XUAT KHAU,true
BVH,BAO HIEM,true
BMI,BAO HIEM,true
MIG,BAO HIEM,true
IMP,DUOC,true
DHT,DUOC,true
DBD,DUOC,true
DHD,DUOC,true
DHG,DUOC,true
DMC,DUOC,true
DVN,DUOC,true
TRA,DUOC,true
VJC,HANG KHONG,true
HVN,HANG KHONG,true
BTD,BE TONG_NHUA DUONG,true
AAA,BE TONG_NHUA DUONG,true
BMP,BE TONG_NHUA DUONG,true
DAG,BE TONG_NHUA DUONG,true
DNP,BE TONG_NHUA DUONG,true
DPC,BE TONG_NHUA DUONG,true
NHH,BE TONG_NHUA DUONG,true
NTP,BE TONG_NHUA DUONG,true
DPR,CAO SU,true
DRC,CAO SU,true
DRI,CAO SU,true
HRC,CAO SU,true
TRC,CAO SU,true
AMC,KHOANG SAN,true
BMC,KHOANG SAN,true
FCM,KHOANG SAN,true
DHM,KHOANG SAN,true
POS,KHOANG SAN,true
MSR,KHOANG SAN,true
MTA,KHOANG SAN,true
KCB,KHOANG SAN,true
MVB,THAN,true
NBC,THAN,true
THT,THAN,true
CAP,GIAY_BAO BI,true
DHC,GIAY_BAO BI,true
GVT,GIAY_BAO BI,true
HAP,GIAY_BAO BI,true
HHP,GIAY_BAO BI,true
VIF,GO,true
TTF,GO,true
BCE,XAY DUNG,true
CTD,XAY DUNG,true
DTD,XAY DUNG,true
HPX,XAY DUNG,true
TCD,XAY DUNG,true
THG,XAY DUNG,true
MST,XAY DUNG,true
VGC,XAY DUNG,true
